activator,blocker,gate,n_patients,tumor_q10,tumor_median,tumor_mean,benign_prostate_median,benign_prostate_worst,worst_healthy_all,worst_healthy_all_tissue,worst_healthy_all_celltype,worst_healthy_xprostate,worst_xp_tissue,worst_xp_celltype,malignant_vs_benign,selectivity_xprostate
ERBB2,EPCAM,NOT,18,0.0,0.011807263,0.016839776,0.08300382,0.14106146,0.5885714,endocrine gland,mesothelial cell,0.5885714,endocrine gland,mesothelial cell,-0.071196556,-0.57676417
HPN,ADAM9,NOT,18,0.07243036031723023,0.2057447,0.2040047,0.057239193,0.19555555,0.78311306,liver,hepatocyte,0.78311306,liver,hepatocyte,0.14850551,-0.5773684
ERBB2,TACSTD2,NOT,18,0.00612914264202118,0.0236952,0.025309352,0.04789187,0.102150545,0.6067744,heart,regular atrial cardiac myocyte,0.6067744,heart,regular atrial cardiac myocyte,-0.02419667,-0.5830792
NECTIN4,DLL3,NOT,18,0.14049255996942522,0.26378366,0.2962971,0.17379503,0.37413394,0.8512061,eye,corneal epithelial cell,0.8512061,eye,corneal epithelial cell,0.089988634,-0.5874225
FOLR1,MSLN,NOT,18,0.0,0.0,0.003477279,0.03381459,0.13793103,0.5926341,lung,pulmonary alveolar type 2 cell,0.5926341,lung,pulmonary alveolar type 2 cell,-0.03381459,-0.5926341
ERBB2,STEAP2,NOT,18,0.0,0.007792324,0.015891973,0.15358898,0.25619835,0.60141206,lung,pulmonary alveolar type 1 cell,0.60141206,lung,pulmonary alveolar type 1 cell,-0.14579666,-0.5936197
SLC45A3,STEAP2,NOT,18,0.004294449090957643,0.015628815,0.018059228,0.027493171,0.068965524,0.6097561,blood,basophil,0.6097561,blood,basophil,-0.011864357,-0.5941273
SLC45A3,TMPRSS2,NOT,18,0.0,0.014894575,0.029357675,0.022642553,0.12888888,0.6097561,blood,basophil,0.6097561,blood,basophil,-0.007747978,-0.5948615
ERBB2,TMPRSS2,NOT,18,0.0,0.008529961,0.022714274,0.14563128,0.20495868,0.6060867,heart,regular atrial cardiac myocyte,0.6060867,heart,regular atrial cardiac myocyte,-0.13710132,-0.5975567
NECTIN4,EPCAM,NOT,18,0.0,0.00191205,0.008122212,0.03035187,0.08775982,0.60099,tongue,stratified squamous epithelial cell,0.60099,tongue,stratified squamous epithelial cell,-0.02843982,-0.59907794
STEAP2,TACSTD2,NOT,18,0.029004353284835815,0.063966185,0.08228454,0.061812818,0.3022222,0.66494846,pancreas,fibroblast,0.66494846,pancreas,fibroblast,0.0021533668,-0.6009823
NECTIN4,GRPR,NOT,18,0.14977091103792192,0.24994265,0.2994275,0.17379503,0.37413394,0.8531168,eye,corneal epithelial cell,0.8531168,eye,corneal epithelial cell,0.076147616,-0.60317415
CEACAM5,ADAM9,NOT,18,0.0,0.0,0.0014519426,0.0,0.011570249,0.60465115,colon,type L enteroendocrine cell,0.60465115,colon,type L enteroendocrine cell,0.0,-0.60465115
